State,Number,Summary,Bill Type,Date,Status,Erin Reed's State Risk,Notes,URL,Sponsors,Calendar,Change Hash
Kentucky,SB130,AN ACT relating to civil rights.,Broad Nondiscrimination,3/10/2023,to Judiciary (S),Worst,,https://legiscan.com/KY/bill/SB130/2023,"Gerald Neal, Reginald Thomas",,c4afc109bed09ecc97aa1de6c8bc3c02
Wisconsin,SJR15,"Proclaiming March 31, 2023, as Wisconsin's Transgender Day of Visibility.",Supportive Resolution,3/30/2023,Representative Riemer added as a cosponsor,Low,,https://legiscan.com/WI/bill/SJR15/2023,"Timothy Carpenter, Mark Spreitzer, Melissa Agard, Dianne Hesselbein, LaTonya Johnson, Christopher Larson, Kelda Roys, Jeff Smith, Lena Taylor, Greta Neubauer, Marisabel Cabrera, Lee Snodgrass, Ryan Clancy, Melissa Ratcliff, Clinton Anderson, Jimmy Anderson, Deb Andraca, Samba Baldeh, Sue Conley, Dave Considine, Jodi Emerson, Evan Goyke, Francesca Hong, Jenna Jacobson, Alex Joers, Darrin Madison, Supreme Omokunde, Tod Ohnstad, Sylvia Ortiz-Velez, Lori Palmeri, Katrina Shankland, Kristina Shelton, Christine Sinicki, Robyn Vining, Lisa Subeck, Dora Drake, Shelia Stubbs",,4c767ad20843866aba7ca11a4e779698
Minnesota,HF2280,Gender-Affirming Rights Act created.,Gender Affirming Care Protections,3/15/2023,Author added Smith,Safest,,https://legiscan.com/MN/bill/HF2280/2023,"Leigh Finke, Jamie Becker-finn, Brion Curran, Athena Hollins, Sydney Jordan, Maria Perez-Hedges, Jessica Hanson, Liz Reyer, Alicia Kozlowski, Cheryl Youakim, Cedrick Frazier, Heather Keeler, Michael Howard, Kaela Berg, Kim Hicks, Emma Greenman, Peter Fischer, Hodan Hassan, Ruth Richardson, Heather Edelson, Liz Lee, Samantha Sencer-Mura, Matt Norris, Jamie Long, Sandra Feist, Laurie Pryor, Liz Olson, Steve Elkins, Larry Kraft, Amanda Hemmingsen-Jaeger, Tina Liebling, Kristi Pursell, Andrew Smith",Hearing 2023-03-09 08:30 ,fc1b4cd09c4cfd66efbefa8cf9de9e70
Minnesota,HF2607,"Health plans clarified to require coverage of gender-affirming care, and medical assistance clarified to require coverage of gender-affirming care.",Health Care Equity,3/20/2023,Author added Hemmingsen-Jaeger,Safest,,https://legiscan.com/MN/bill/HF2607/2023,"Leigh Finke, Alicia Kozlowski, Brion Curran, Aisha Gomez, Kristi Pursell, Liz Lee, Samantha Sencer-Mura, Larry Kraft, Kim Hicks, Andrew Smith, Athena Hollins, Michael Howard, Peter Fischer, Kelly Moller, Kaohly Her, Ruth Richardson, Sandra Feist, Ginny Klevorn, Kristin Bahner, Laurie Pryor, Brad Tabke, Zack Stephenson, Mike Freiberg, Liz Reyer, Amanda Hemmingsen-Jaeger",,86357b3d333f0e35cadd2d6af63580bb
Washington,SB5599,Supporting youth and young adults seeking protected health care services.,Gender Affirming Care Protections,5/9/2023,Effective date 7/23/2023.,Safest,,https://legiscan.com/WA/bill/SB5599/2023,"Marko Liias, Claire Wilson, Manka Dhingra, Liz Lovelett, Joe Nguyen, Emily Randall","Hearing 2023-02-06 10:30 Senate Committee on Human Services, Hearing 2023-02-14 10:30 Senate Committee on Human Services, Hearing 2023-03-22 13:30 House Committee on Human Services, Youth, & Early Learning, Hearing 2023-03-24 08:00 House Committee on Human Services, Youth, & Early Learning",34c4cdd49acc0b336f5696c95ecbeb5b
California,AB957,Family law: gender identity.,Birth Certificate Or Identification,7/5/2023,Read second time. Ordered to third reading.,Safest,,https://legiscan.com/CA/bill/AB957/2023,"Lori Wilson, Scott Wiener","Hearing 2023-03-21 09:00 State Capitol, Room 437, Hearing 2023-06-13 13:30 1021 O Street, Room 2100",29c547f1781d6e753b19fe74803c2e21
DC,B25-0168,Pride Plates Amendment Act of 2023,Welfare Funding,7/14/2023,Act A25-0160 Published in DC Register Vol 70 and Page 009697,Safest,Creates LGBTQ Pride motor vehicle identification tags to support the fund,https://legiscan.com/DC/bill/B25-0168/2023,"Robert White, Charles Allen, Kenyan McDuffie, Christina Henderson, Vincent Gray, Janeese Lewis George, Matthew Frumin, Brooke Pinto, Zachary Parker",,75b9ce778cacb5b49ce01f9b684ad80c
California,SB857,Advisory task force: LGBTQ+ pupil needs.,"Commissions, Task Forces, and Studies",7/13/2023,From committee: Do pass and re-refer to Com. on APPR. (Ayes 5. Noes 0.) (July 12). Re-referred to Com. on APPR.,Safest,,https://legiscan.com/CA/bill/SB857/2023,"John Laird, Toni Atkins, Sabrina Cervantes, Susan Eggman, Lena Gonzalez, Corey Jackson, Alex Lee, Evan Low, Caroline Menjivar, Steve Padilla, Anthony Portantino, Chris Ward, Scott Wiener, Rick Zbur","Hearing 2023-04-12 09:00 1021 O Street, Room 2100, Hearing 2023-04-24 10:00 1021 O Street, Room 2200, Hearing 2023-06-28 13:30 State Capitol, Room 126, Hearing 2023-07-12 13:30 State Capitol, Room 126",40dcfc0086e51bf06b760b047809d880
California,SB345,Health care services: legally protected health care activities.,Safe State Bill,7/12/2023,From committee: Do pass and re-refer to Com. on APPR. (Ayes 6. Noes 1.) (July 11). Re-referred to Com. on APPR.,Safest,,https://legiscan.com/CA/bill/SB345/2023,"Nancy Skinner, Cecilia Aguiar-Curry, Josh Becker, Anna Caballero, Sabrina Cervantes, Damon Connolly, Dave Cortese, Bill Dodd, Ash Kalra, Mike McGuire, Caroline Menjivar, Dave Min, Steve Padilla, Gail Pellerin, Henry Stern, Aisha Wahab","Hearing 2023-04-18 08:30 1021 O Street, Room 2200, Hearing 2023-04-25 09:00 1021 O Street, Room 2100, Hearing 2023-05-08 10:00 1021 O Street, Room 2200, Hearing 2023-05-18 00:00 1021 O Street, Room 2200, Hearing 2023-07-05 13:30 State Capitol, Room 126, Hearing 2023-07-11 09:00 State Capitol, Room 126, Hearing 2023-07-11 09:00 State Capitol, Room 127",92b0cee2f490bd6d3f8eb46253190760
US,HR265,"Supporting the goals and ideals of the Rise Up for LGBTQI+ Youth in Schools Initiative, a call to action to communities across the country to demand equal educational opportunity, basic civil rights protections, and freedom from erasure for all students, particularly LGBTQI+ young people, in elementary and secondary schools.",Supportive Resolution,3/29/2023,Referred to the House Committee on Education and the Workforce.,Low,,https://legiscan.com/US/bill/HR265/2023,"Mark Takano, Barbara Lee, Sharice Davids, Raul Grijalva, Jasmine Crockett, Linda Sanchez, Nikema Williams, Jill Tokuda, Mark DeSaulnier, Katie Porter, Judy Chu",,2aacf67e53a6716ea2824a4be23dc26a
US,SR134,"A resolution supporting the goals and ideals of the Rise Up for LGBTQI+ Youth in Schools Initiative, a call to action to communities across the country to demand equal educational opportunity, basic civil rights protections, and freedom from erasure for all students, particularly LGBTQI+ young people, in K-12 schools.",Supportive Resolution,3/29/2023,"Referred to the Committee on Health, Education, Labor, and Pensions. (text: CR S1056-1057)",Low,,https://legiscan.com/US/bill/SR134/2023,"Brian Schatz, Ron Wyden, Elizabeth Warren, Edward Markey",,8321078fcc97d9826e23aacf437a05b9
US,SR154,A resolution supporting the goals and ideals of International Transgender Day of Visibility.,Supportive Resolution,3/30/2023,Referred to the Committee on the Judiciary. (text: CR S1105),Low,,https://legiscan.com/US/bill/SR154/2023,"Brian Schatz, Martin Heinrich, Christopher Murphy, Thomas Carper, Dianne Feinstein, Cory Booker, Sheldon Whitehouse, Tammy Baldwin, Catherine Cortez Masto, Robert Casey, Mazie Hirono, Michael Bennet, Richard Blumenthal, Edward Markey, Elizabeth Warren, Peter Welch, Jeff Merkley, Jacky Rosen, Alex Padilla, Tammy Duckworth, Patty Murray, John Fetterman, Ron Wyden",,06318270b8561fe219767223d18ec5a5
Hawaii,HR147,Urging The Board Of Education To Develop And Enforce Non-sex Segregated Dress Codes For Public School Formal Events.,LGBTQ+ Resolution,3/30/2023,Resolution adopted in final form.,Safest,,https://legiscan.com/HI/bill/HR147/2023,"Amy Perruso, Terez Amato, Jeanne Kapela, Lisa Marten, Mahina Poepoe, Adrian Tam",Hearing 2023-03-23 14:00 Conference Room 309 VIA VIDEOCONFERENCE,ecc30017b2b099e4c6b9882cefb3a0ec
US,SR144,"A resolution recognizing that it is the duty of the Federal Government to develop and implement a Transgender Bill of Rights to protect and codify the rights of transgender and nonbinary people under the law and ensure their access to medical care, shelter, safety, and economic safety.",LGBTQ+ Resolution,3/30/2023,Referred to the Committee on the Judiciary. (text: CR S1099-1100),Low,,https://legiscan.com/US/bill/SR144/2023,"Edward Markey, Bernard Sanders, Jeff Merkley, Elizabeth Warren, Mazie Hirono, Tina Smith, Richard Durbin, Peter Welch, Martin Heinrich",,6efd271d7b7e42b433223a742b5c0ddb
California,AB1078,Instructional materials and curriculum: diversity.,LGBTQ+ Inclusive Curriculum,7/13/2023,Read second time and amended. Re-referred to Com. on APPR.,Safest,,https://legiscan.com/CA/bill/AB1078/2023,"Corey Jackson, Alex Lee","Hearing 2023-03-29 13:30 1021 O Street, Room 1100, Hearing 2023-04-26 13:30 State Capitol, Room 126, Hearing 2023-05-17 09:00 1021 O Street, Room 1100, Hearing 2023-07-05 09:00 1021 O Street, Room 2100",117de9b7a12069763e6c427ec2dac355
Maine,LD675,"Resolve, to Improve the Convenience of Public Restrooms",Inclusive Bathrooms,6/15/2023,"FINALLY PASSED, in concurrence.",Low,,https://legiscan.com/ME/bill/LD675/2023,"Samuel Zager, Amy Arata, Lydia Crafts, Jill Duson, Marianne Moore, Lois Galgay Reckitt","Hearing 2023-04-18 13:15 Cross Building, Room 206, Hearing 2023-04-28 09:30 Cross Building, Room 206",7f4953164d1277166889a8f7dacea6b3
Delaware,HCR31,Recognizing March 31st As International Transgender Day Of Visibility.,Supportive Resolution,4/4/2023,Passed By Senate. Votes: 15 YES 1 NO 5 NOT VOTING,Low,,https://legiscan.com/DE/bill/HCR31/2023,,,5da4f07c0e44314d9e3d80e020ad8272
US,HCR32,Supporting the goals and ideals of International Transgender Day of Visibility.,Supportive Resolution,3/30/2023,Referred to the House Committee on the Judiciary.,Low,,https://legiscan.com/US/bill/HCR32/2023,"Sara Jacobs, Becca Balint, Earl Blumenauer, Lisa Rochester, Suzanne Bonamici, Jamaal Bowman, Cori Bush, Andre Carson, Sean Casten, David Cicilline, Gerald Connolly, Angela Craig, Jasmine Crockett, Sharice Davids, Madeleine Dean, Diana DeGette, Veronica Escobar, Dwight Evans, Elizabeth Fletcher, Maxwell Frost, Jimmy Gomez, Raul Grijalva, Brian Higgins, Glenn Ivey, Sheila Jackson-Lee, Pramila Jayapal, Henry Johnson, Sydney Kamlager-Dove, Ro Khanna, Daniel Kildee, Derek Kilmer, Rick Larsen, John Larson, Barbara Lee, James McGovern, Grace Meng, Gwen Moore, Seth Moulton, Jerrold Nadler, Eleanor Norton, Alexandria Ocasio-Cortez, Christopher Pappas, Donald Payne, Mark Pocan, Katie Porter, Mike Quigley, Jamie Raskin, Andrea Salinas, Linda Sanchez, Mary Gay Scanlon, Janice Schakowsky, Adam Schiff, Eric Sorensen, Haley Stevens, Mark Takano, Jill Tokuda, Paul Tonko, Ritchie Torres, Nydia Velazquez, Bonnie Coleman, Jennifer Wexton, Nikema Williams, Morgan McGarvey, Danny Davis, Raja Krishnamoorthi, David Trone, Adam Smith",,455100e3bd1602eed4b3c0dca9fab0dc
Illinois,HB1286,EQUITABLE RESTROOMS-ALL-GENDER,Inclusive Bathrooms,6/16/2023,Sent to the Governor,Safest,,https://legiscan.com/IL/bill/HB1286/2023,"Katie Stuart, Anne Stava-Murray, Jennifer Gong-Gershowitz, Lakesia Collins, Dagmara Avelar, Daniel Didech, Kelly Cassidy, Hoan Huynh, Maura Hirschauer, Lindsey LaPointe, Mark Walker, Barbara Hernandez, Kevin Olickal, Laura Faver Dias, Ann Williams, Edgar Gonzalez, Joyce Mason, Lilian Jimenez, Kambium Buckner, Gregg Johnson, Aaron Ortiz, Jonathan Carroll, Terra Costa Howard, Margaret Croke, Janet Yang Rohr, Kimberly Du Buclet, Camille Lilly, Eva Dina Delgado, Jaime Andrade, Celina Villanueva, Cristina Pacione-Zayas, Emil Jones, Mike Simmons, Ann Gillespie, Ram Villivalam, Laura Fine, Robert Martwick, Robert Peters, Sara Feigenholtz, Karina Villa, Rachel Ventura, Mary Edly-Allen, Adriane Johnson, Willie Preston, David Koehler, Kimberly Lightford","Hearing 2023-02-22 08:00 Room 118, Hearing 2023-04-26 13:30 Room 212, Hearing 2023-05-03 13:00 Room 212, Hearing 2023-05-10 15:00 Room 212, Hearing 2023-05-17 13:00 Room 212",bb57b9cf5be8b05164a27dbe5cbcf5fb
Maine,LD942,"Resolve, to Establish a Plan for Adding a 3rd Option for Gender on State Forms",Birth Certificate Or Identification,6/14/2023,"FINALLY PASSED, in concurrence.",Low,,https://legiscan.com/ME/bill/LD942/2023,"Erin Sheehan, Matthea Larsen Daughtry, Amy Kuhn, Matthew Moonen, Laurie Osher, Lois Galgay Reckitt, Tiffany Roberts-Lovell, Holly Stover","Hearing 2023-03-28 13:00 State House, Room 438, Hearing 2023-04-13 13:00 State House, Room 438",22af2e0e6325b7538aaa5ab3ae0a2517
Minnesota,HF1198,"Child care assistance expanded to certain families, grants and rules regarding children's mental health expanded and modified, transition to community initiative modified, mental health staff training requirements modified, covered transportation services modified, coverage of mental health clinical care coordination modified, rules regarding children's long-term stays in the emergency room modified, rural family response and stabilization services pilot program established, reports required, and money appropriated.",Health Care Equity,3/30/2023,Author added Hussein,Safest,"Requires culturally responsive care, including care for lesbian, gay, bisexual, transgender, and queer youth for crisis assessment and intervention staff as well as crisis stabilization staff",https://legiscan.com/MN/bill/HF1198/2023,"Jessica Hanson, Liz Olson, Peter Fischer, Luke Frederick, Kim Hicks, Nathan Coulter, Carlie Kotyza-Witthuhn, Kaela Berg, Hodan Hassan, Heather Edelson, Mohamud Noor, Brion Curran, Esther Agbaje, Mike Freiberg, Fue Lee, Patty Acomb, Natalie Zeleznikar, Kelly Moller, Nathan Nelson, Andrew Myers, Samakab Hussein","Hearing 2023-02-20 13:00 , Hearing 2023-03-08 18:00 ",6d2be31dd8b8f0aae62ca09e97041bde
Wisconsin,AJR20,"Proclaiming March 31, 2023, as Wisconsin's Transgender Day of Visibility.",Supportive Resolution,3/30/2023,Representative Riemer added as a coauthor,Low,,https://legiscan.com/WI/bill/AJR20/2023,"Greta Neubauer, Marisabel Cabrera, Lee Snodgrass, Ryan Clancy, Melissa Ratcliff, Clinton Anderson, Jimmy Anderson, Deb Andraca, Samba Baldeh, Sue Conley, Dave Considine, Jodi Emerson, Evan Goyke, Francesca Hong, Jenna Jacobson, Alex Joers, Darrin Madison, Supreme Omokunde, Tod Ohnstad, Sylvia Ortiz-Velez, Lori Palmeri, Katrina Shankland, Kristina Shelton, Christine Sinicki, Robyn Vining, Lisa Subeck, Dora Drake, Shelia Stubbs, Kalan Haywood, Mike Bare, Timothy Carpenter, Mark Spreitzer, Melissa Agard, Dianne Hesselbein, LaTonya Johnson, Christopher Larson, Kelda Roys, Jeff Smith, Lena Taylor",,321db49c545164547815087c85ae3541
Texas,HB428,"Relating to the creation of a task force to evaluate the housing needs of senior citizens who are lesbian, gay, bisexual, transgender, queer, or questioning.","Commissions, Task Forces, and Studies",4/12/2023,Left pending in committee,Worst,,https://legiscan.com/TX/bill/HB428/2023,"Ray Lopez, Jessica Gonzalez, Mihaela Plesa, Josey Garcia, Penny Morales Shaw",Hearing 2023-04-12 09:00 JHR 120,407c99db53c1a239ff1e8c7b1211f28b
Maine,LD1040,An Act to Require Reimbursement for Gender-affirming Care for MaineCare Members,Gender Affirming Care Protections,6/21/2023,"PASSED TO BE ENACTED, in concurrence.",Low,,https://legiscan.com/ME/bill/LD1040/2023,"Matthew Moonen, Joseph Baldacci, Margaret Craven, Anne Graham, Henry Ingwersen, Colleen Madigan, Michele Meyer, Ambureen Rana, Daniel Shagoury, Samuel Zager","Hearing 2023-04-12 13:00 Cross Building, Room 209, Hearing 2023-04-26 13:00 Cross Building, Room 209",32632f879ea2d1a2816740d299edfb31
US,HR269,"Recognizing that it is the duty of the Federal Government to develop and implement a Transgender Bill of Rights to protect and codify the rights of transgender and nonbinary people under the law and ensure their access to medical care, shelter, safety, and economic security.",LGBTQ+ Resolution,4/19/2023,Sponsor introductory remarks on measure. (CR H1860),Low,,https://legiscan.com/US/bill/HR269/2023,"Pramila Jayapal, Sara Jacobs, Mark Pocan, Mark Takano, David Cicilline, Alma Adams, Colin Allred, Becca Balint, Nanette Barragan, Earl Blumenauer, Suzanne Bonamici, Jamaal Bowman, Shontel Brown, Cori Bush, Andre Carson, Troy Carter, Greg Casar, Sean Casten, Kathy Castor, Judy Chu, Yvette Clarke, Gerald Connolly, Jasmine Crockett, Danny Davis, Madeleine Dean, Diana DeGette, Mark DeSaulnier, Lloyd Doggett, Veronica Escobar, Anna Eshoo, Adriano Espaillat, Dwight Evans, Elizabeth Fletcher, Maxwell Frost, John Garamendi, Sylvia Garcia, Robert Garcia, Jesus Garcia, Jimmy Gomez, Al Green, Raul Grijalva, Jahana Hayes, Brian Higgins, Glenn Ivey, Sheila Jackson-Lee, Henry Johnson, Sydney Kamlager-Dove, William Keating, Ro Khanna, Derek Kilmer, Andy Kim, Raja Krishnamoorthi, Rick Larsen, John Larson, Barbara Lee, Teresa Fernandez, Ted Lieu, Stephen Lynch, Doris Matsui, Jennifer McClellan, Betty McCollum, Morgan McGarvey, James McGovern, Grace Meng, Gwen Moore, Seth Moulton, Kevin Mullin, Jerrold Nadler, Grace Napolitano, Eleanor Norton, Alexandria Ocasio-Cortez, Ilhan Omar, Jimmy Panetta, Donald Payne, Chellie Pingree, Katie Porter, Ayanna Pressley, Mike Quigley, Jamie Raskin, Deborah Ross, Andrea Salinas, Linda Sanchez, Mary Gay Scanlon, Janice Schakowsky, Adam Schiff, Adam Smith, Melanie Stansbury, Haley Stevens, Shri Thanedar, Dina Titus, Rashida Tlaib, Jill Tokuda, Paul Tonko, Lori Trahan, David Trone, Juan Vargas, Nydia Velazquez, Debbie Wasserman Schultz, Bonnie Coleman, Nikema Williams, Frederica Wilson, Daniel Goldman, Scott Peters, Salud Carbajal, Robert Menendez, Lisa Rochester, Tony Cardenas",,7530629f31a1f3680c9843bb9bf4cf2c
Hawaii,HCR145,Urging The Board Of Education To Develop And Enforce Non-sex Segregated Dress Codes For Public School Formal Events.,LGBTQ+ Resolution,3/31/2023,Referred to EDU.,Safest,,https://legiscan.com/HI/bill/HCR145/2023,"Amy Perruso, Terez Amato, Jeanne Kapela, Lisa Marten, Mahina Poepoe, Adrian Tam",Hearing 2023-03-23 14:00 Conference Room 309 VIA VIDEOCONFERENCE,070dc5a77a2614541d6782bbee57be4f
Maryland,SB251,State Government - Commission on LGBTQIA+ Affairs - Alterations,"Commissions, Task Forces, and Studies",4/11/2023,Approved by the Governor - Chapter 46,Safest,,https://legiscan.com/MD/bill/SB251/2023,Mary Washington,"Hearing 2023-02-07 14:00 , Hearing 2023-03-22 13:00 ",54f3d257858c831e699cf2cb8fde4a59
Maryland,HB141,State Government – Commission on LGBTQIA+ Affairs – Alterations,"Commissions, Task Forces, and Studies",4/11/2023,Approved by the Governor - Chapter 45,Safest,,https://legiscan.com/MD/bill/HB141/2023,"Lily Qi, Tiffany Alston, Heather Bagnall, Bonnie Cullison, Pam Guzzone, Terri Hill, Anne Kaiser, Ken Kerr, Robbyn Lewis, Lesley Lopez, Ashanti Martinez, Joseline Pena-Melnyk, Samuel Rosenberg, Deni Taveras, Jennifer White, Jamila Woods",Hearing 2023-02-15 13:00 ,8174a698d5567f8a978e3ae45425bbe0
Vermont,JRH004,"Joint resolution recognizing March 31, 2023 as Transgender Day of Visibility in Vermont, expressing support for the transgender rights of all Vermonters, and opposing legislation restricting the rights of transgender Vermonters regardless of their age",Supportive Resolution,4/7/2023,"Senate Message, adopted in concurrence",Safest,,https://legiscan.com/VT/bill/JRH004/2023,"Taylor Small, Julia Andrews, Joseph Andriano, Peter Anthony, John Arrison, Angela Arsenault, Sarita Austin, John Bartholomew, Daisy Berbeco, Matt Birong, Alyssa Black, Tiffany Bluemle, Seth Bongartz, Michelle Bos-Lun, Lucy Boyden, Erin Brady, Jana Brown, Nelson Brownell, Jessica Brumsted, Mollie Burke, Elizabeth Burrows, Tesha Buss, Scott Campbell, Melanie Carpenter, James Carroll, Conor Casey, Ela Chapin, Heather Chase, Seth Chase, Robin Chesnut-Tangerman, Kevin Christie, Brian Cina, Sara Coffey, Esme Cole, Peter Conlon, Timothy Corcoran, Mari Cordes, Carl Demrow, Leonora Dodge, Karen Dolan, Kari Dolan, David Durfee, Caleb Elder, Alice Emmons, Bobby Farlice-Rubio, Rey Garofano, Leslie Goldman, Edye Graning, Troy Headrick, Rebecca Holcombe, Philip Hooper, Robert Hooper, Lori Houghton, Mary Howard, Noah Hyman, Kathleen James, Stephanie Jerome, Emilie Kornheiser, Emilie Krasnow, Jill Krowinski, Kate Lalley, Martin LaLonde, Saudia Lamont, Diane Lanpher, Josie Leavitt, Jed Lipsky, Kate Logan, Emily Long, James Masland, Kate McCann, Mike McCarthy, Jubilee McGill, Marc Mihaly, Brian Minier, Kristi Morris, Michael Mrowicki, Emma Mulvaney-Stanak, Logan Nicoll, William Notte, Daniel Noyes, Kate Nugent, John O'Brien, Carol Ode, Kelly Pajala, Avram Patt, Henry Pearl, Phil Pouech, Monique Priestley, Barbara Rachelson, Mike Rice, Tristan Roberts, Lawrence Satcowitz, Robin Scheu, Amy Sheldon, Laura Sibilia, Katherine Sims, Trevor Squirrell, Gabrielle Stebbins, Thomas Stevens, Mary-Katherine Stone, Heather Surprenant, Curt Taylor, David Templeman, Tristan Toleno, Dara Torre, Joseph Troiano, Chea Evans, Kirk White, Dane Whitman, Jonathan Williams, Theresa Wood",,8743df90e1b6fac7173142bc1db7a84b
New York,A06046,Prohibits consideration of a law of another state that authorizes a child to be removed from their parent or guardian based on the parent or guardian allowing their child to receive gender-affirming care in custody cases; prohibits law enforcement agencies from cooperating with or providing information to any individual or out-of-state agency or department regarding the provision of lawful gender-affirming care performed in this state; prohibits the issuance of a subpoena in connection with certain out-of-state proceedings relating to seeking health or related information about people who come to New York to receive gender-affirming care; prohibits the arrest of a person for performing or aiding in the lawful performance of gender-affirming care within this state; relates to the extradition of gender-affirming care providers; relates to licensure of health care providers; prohibits insurance providers from taking adverse action against a health care provider who provides gender-affirming care.,Safe State Bill,6/10/2023,substituted by s2475b,Safest,,https://legiscan.com/NY/bill/A06046/2023,"Harry Bronson, Maryjane Shimsky, Jessica Gonzalez-Rojas, Andrew Hevesi, Karines Reyes, Tony Simone, Rebecca Seawright, Michaelle Solages, Catalina Cruz, Sarahana Shrestha, Sarah Clark, Jo Simon, Harvey Epstein, Amy Paulin, Deborah Glick, Emily Gallagher, Jennifer Lunsford, Daniel O'Donnell, Anna Kelles, Linda Rosenthal, Alex Bores, Christopher Burdick, Albert Stirpe, Patricia Fahy, Kenneth Burgos, David Weprin, John McDonald, Gina Sillitti","Hearing 2023-05-31 00:00 , Hearing 2023-06-01 00:00 ",5d1d5bbd507cc9b2f3bb0fde39889af5
Minnesota,SF3017,"Small businesses owned by lesbian, gay. bisexual, transgender, intersex, queer, or sexual identification people addition to the list of targeted group businesses for the purposes of state procurement",Supporting LGBTQ+ Owned Businesses,4/3/2023,Authors added Kupec; Cwodzinski,Safest,Adds LGBTQ+ owned small business to the list of targeted group businesses for the purposes of state procurement,https://legiscan.com/MN/bill/SF3017/2023,"David Dibble, Clare Oumou Verbeten, Erin Maye Quade, Rob Kupec, Steve Cwodzinski",,c44b34551e524feb67a95fc89c725c2f
US,HR281,"Supporting the goals and ideals of ""National Youth HIV/AIDS Awareness Day"".",Supportive Resolution,4/14/2023,Referred to the Subcommittee on Health.,Low,,https://legiscan.com/US/bill/HR281/2023,"Barbara Lee, Donald Payne, Sara Jacobs, Nanette Barragan, Judy Chu, Danny Davis, Nikema Williams, Jahana Hayes, Dwight Evans, Terri Sewell, Nikki Budzinski, David Cicilline",,581ac9181902e8d4bce996159435c872
Massachusetts,S212,Supporting access to training on reproductive and gender-affirming care,Health Care Equity,5/26/2023,Hearing scheduled for 06/06/2023 from 01:00 PM-05:00 PM in Gardner Auditorium,Safest,,https://legiscan.com/MA/bill/S212/2023,"Rebecca Rausch, Lindsay Sabadosa, James Eldridge",Hearing 2023-06-06 13:00 Gardner Auditorium,e02521a2a7336a1cbefb9c55d0572bec
Maine,LD1507,An Act to Ensure the Accuracy of Vital Records with Respect to Gender,Birth Certificate Or Identification,6/20/2023,"PASSED TO BE ENACTED, in concurrence.",Low,,https://legiscan.com/ME/bill/LD1507/2023,"Erin Sheehan, Marc Malon, Charles Skold","Hearing 2023-04-26 09:00 State House, Room 438, Hearing 2023-05-09 13:00 State House, Room 438, Hearing 2023-05-17 13:00 State House, Room 438",051b87c5102d2ea5e1df7932ae9ed691
Minnesota,HF2065,"Gender-neutral, single-user restroom and locker room facilities provided; and money appropriated.",Inclusive Bathrooms,3/15/2023,Authors added Xiong and Reyer,Safest,,https://legiscan.com/MN/bill/HF2065/2023,"Alicia Kozlowski, Leigh Finke, Cheryl Youakim, Athena Hollins, Sydney Jordan, Maria Perez-Hedges, Erin Koegel, Samantha Sencer-Mura, Mohamud Noor, Hodan Hassan, Andrew Smith, Liz Olson, Jamie Becker-finn, Kaela Berg, Kim Hicks, Liz Lee, Zack Stephenson, Samakab Hussein, Peter Fischer, Jay Xiong, Liz Reyer",,59419d7d4590a7c1325c7730ecb5b16b
Washington,HB1155,"Addressing the collection, sharing, and selling of consumer health data.",Provider Protections,4/27/2023,Effective date 7/23/2023.,Safest,Stops the transfer of data relating to gender affirming care,https://legiscan.com/WA/bill/HB1155/2023,"Vandana Slatter, Chipalo Street, Julia Reed, Cindy Ryu, April Berg, Emily Alvarado, Jamila Taylor, Jessica Bateman, Alex Ramel, Tana Senn, Roger Goodman, Joe Fitzgibbon, Nicole Macri, Tarra Simmons, Kristine Reeves, Debra Lekanoff, Tina Orwall, Davina Duerr, My-Linh Thai, Mia Gregerson, Sharon Wylie, Lillian Ortiz-Self, Monica Stonier, Gerry Pollet, Marcus Riccelli, Brandy Donaghy, Mary Fosse, Timm Ormsby","Hearing 2023-01-24 10:30 House Committee on Civil Rights & Judiciary, Hearing 2023-01-27 10:30 House Committee on Civil Rights & Judiciary, Hearing 2023-02-03 10:30 House Committee on Civil Rights & Judiciary, Hearing 2023-03-14 10:30 Senate Committee on Law & Justice, Hearing 2023-03-22 18:00 Senate Committee on Law & Justice",de82139de157828c49b2a1463aa5445b
Nevada,SB370,Revises provisions relating to the protection of consumer information. (BDR 52-42),Provider Protections,6/16/2023,"Chapter 525. (Effective March 31, 2024)",Low,Stops the transfer of data relating to gender affirming care,https://legiscan.com/NV/bill/SB370/2023,"Nicole Cannizzaro, Rochelle Nguyen, Fabian Donate, Richard Daly, Dallas Harris, Roberta Lange, Dina Neal, Julie Pazina, Melanie Scheible","Hearing 2023-04-10 08:00 Room 2134, Hearing 2023-04-14 08:00 Room 2134, Hearing 2023-05-17 12:00 Room 4100",6cf9a9f91ea262b7e480601970f0a1da
California,AB352,Health information.,Provider Protections,7/13/2023,From committee: Do pass and re-refer to Com. on APPR. (Ayes 10. Noes 0.) (July 12). Re-referred to Com. on APPR.,Safest,Stops the transfer of data relating to gender affirming care,https://legiscan.com/CA/bill/AB352/2023,"Rebecca Bauer-Kahan, Buffy Wicks","Hearing 2023-04-11 13:30 1021 O Street, Room 1100, Hearing 2023-04-25 13:30 State Capitol, Room 126, Hearing 2023-05-10 09:00 1021 O Street, Room 1100, Hearing 2023-05-18 00:00 1021 O Street, Room 1100, Hearing 2023-06-27 00:00 1021 O Street, Room 2100, Hearing 2023-07-12 00:00 1021 O Street, Room 1200",a8bd80fb2794741bad00b04c9ab3406b
